variable,mean,std,min,max,count
ppt_total,90.07912811241113,66.63103593900574,0.0,908.5947201737282,74592.0
tmean_mean,13.14323606082753,9.539658497727258,-18.956128301610708,35.75304592802812,74592.0
tmin_mean,7.1423997709303,9.411819738317073,-25.040311727840923,28.40107010530425,74592.0
tmax_mean,19.137182746769927,9.832923926167428,-13.218669080828036,43.597101197810304,74592.0
tdmean_mean,6.913548933462781,9.4749136377406,-21.303369650659757,25.39587524198384,74592.0
vpdmin_mean,1.111955882303355,1.3178153569651878,0.0047851714580819,23.01460053216409,74592.0
vpdmax_mean,14.312820454098365,8.534654980499733,0.6504974384003142,76.64623446224918,74592.0
days_below_freezing,8.234435328185327,10.686602610017145,0.0,31.0,74592.0
freeze_thaw_days,6.643956456456457,8.445636081843917,0.0,31.0,74592.0
days_precip_gt_10mm,2.8278635778635777,2.3238891447727887,0.0,26.0,74592.0
heating_degree_days,217.90805460835614,223.79837668503288,0.0,1044.1049257784332,74592.0
cooling_degree_days,61.64805509174383,87.6594701908629,0.0,540.0110904355386,74592.0
mean_temp_c,13.14323606082753,9.539658497727258,-18.956128301610708,35.75304592802812,74592.0
tmean_variance_c2,17.956982256299526,14.67462859915302,0.22737460805157,142.39583382726758,74592.0
